CMC_id,CMC_rank,name,ticker,web_primary,web_secondary,source_code,check_source,notes,repo,forge,stars,forks,auth_tot,authors,commits,comments,PR_open,days_inactive,avg_resp_time,med_resp_time,avg_longevity_days,language:,created_since:,updated_since:,contributor_count:,org_count:,commit_frequency:,recent_releases_count:,updated_issues_count:,closed_issues_count:,comment_frequency:,dependents_count:,criticality_score:,alexa_rank,geo_rmse,geo_mae
11926,372,Thetan Arena,THG,https://thetanarena.com,https://kardiachain.io,https://github.com/thetanarena/thetan-token,y,,thetanarena/thetan-token,github,9,3,1,0,0,0,0,28.519,0,0,6,Solidity,7,7,1,1,0.1,0,0,0,0,0,0.05478,5707,0.391630143,0.247467382
2840,373,QuarkChain,QKC,https://quarkchain.io/,,https://github.com/QuarkChain/pyquarkchain,y,,QuarkChain/pyquarkchain,github,237,245,51,1.33,2.67,1,1,1.359,31.62,2.47,207.61,Python,60,9,23,1,0.1,4,0,0,0,28,0.25689,1176876,0.398219202,0.249032002
7311,374,Beefy Finance,BIFI,https://beefy.finance/,,https://github.com/beefyfinance/beefy-app,y,,beefyfinance/beefy-app,github,175,322,109,20.33,159.33,69,56.67,0.56,2.25,0.54,90.04,JavaScript,29,8,100,2,10.6,0,3,3,0,929,0.39437,8305,0.332391733,0.208521353
9674,375,Wilder World,WILD,https://www.wilderworld.com/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,50703,,
7958,376,Venus USDC,vUSDC,https://app.venus.io/dashboard,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,28451,,
18112,377,Alpine F1 Team Fan Token,ALPINE,https://www.binance.com/en/fan-token/team-profile/alpine,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,
1883,378,Adshares,ADS,https://adshares.net/,,https://github.com/adshares/adserver,y,,adshares/adserver,github,32,25,26,6,69,17.67,12.33,2.321,4.93,0.22,503.38,PHP,59,0,12,2,4.3,40,60,58,1,199,0.49339,77350,0.338998141,0.21034031
2927,379,sUSD,SUSD,https://www.synthetix.io/,,https://github.com/Synthetixio/synthetix,y,,Synthetixio/synthetix,github,777,572,141,12.67,277,123,29,0.475,9.04,0.94,215.84,JavaScript,63,0,47,3,7.4,23,95,85,1,1937,0.59737,64685,0.373194204,0.241430553
9891,380,BinaryX,BNX,https://www.binaryx.pro/#/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,29400,,
2662,381,Haven Protocol,XHV,https://havenprotocol.org/,,https://github.com/haven-protocol-org/haven-main,y,,haven-protocol-org/haven-main,github,26,14,20,6,14.67,6.33,1.67,1.144,23.83,2.27,135.6,C++,112,0,326,0,2.1,22,15,14,1,0,0.41841,371811,0.273080272,0.177203697
3626,382,RSK Smart Bitcoin,RBTC,https://rsk.co,,https://github.com/rsksmart/rskj,y,,rsksmart/rskj,github,712,550,177,18.33,195.33,201.33,15,0.603,40.73,16.96,352.2,Java,69,0,75,5,9.7,8,83,55,3.2,71,0.58732,165456,0.377241984,0.226241658
9119,383,Alien Worlds,TLM,https://alienworlds.io,https://play.alienworlds.io,https://github.com/Alien-Worlds/alienteleport,y,,Alien-Worlds/alienteleport,github,16,22,9,4,5,6.67,6,4.905,6.26,0.01,48.83,JavaScript,29,0,5,2,0.4,0,23,21,0.6,0,0.2558,14225,0.35269303,0.224828022
7859,384,Badger DAO,BADGER,https://app.badger.finance/,,https://github.com/Badger-Finance/badger-system,y,,Badger-Finance/badger-system,github,98,56,42,2.33,3,1.67,2,10.776,13.74,1.45,111.81,Python,16,8,29,3,9.3,0,20,4,0.1,33,0.3167,2125777,0.343075614,0.194809701
13523,385,Merit Circle,MC,https://www.meritcircle.io/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,65039,,
2222,386,Bitcoin Diamond,BCD,https://www.bitcoindiamond.org/,,https://github.com/eveybcd/BitcoinDiamond,y,,eveybcd/BitcoinDiamond,github,126,169,83,0,0,0,0,128.303,57.58,57.58,80.87,C++,153,35,730,3,0,1,0,0,0,2,0.312,675781,0.391630143,0.247467382
5908,387,dKargo,DKA,https://dkargo.io/main_en.html,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,809493,,
11150,388,DeFine,DFA,https://www.define.one/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,1006577,,
11374,389,Mines of Dalarnia,DAR,https://www.minesofdalarnia.com/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,28273,,
2606,390,Wanchain,WAN,https://wanchain.org/,,https://github.com/wanchain/go-wanchain,y,,wanchain/go-wanchain,github,311,205,25,1.33,2.33,0,0,1.325,19.42,19.42,341.62,Go,69,7,37,1,0.3,4,0,0,0,909,0.34307,275302,0.411242505,0.265520416
7055,391,DeFi Pulse Index,DPI,https://www.indexcoop.com/dpi,,https://github.com/SetProtocol/set-v2,n,needs updating,SetProtocol/set-v2,github,14,14,5,0,0,0,0,430.824,0,0,43,,,,,,,,,,,,,91879,,
